rtcDate,rtcTime,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_AltMSL,gps_SIV,gps_FixType,gps_GroundSpeed,humidity_%,degC,
08/27/2024,20:45:56.61,08/28/2024,03:45:34.000,376965875,-1217753308,110524,139732,22,3,4,24.43,28.01,
08/27/2024,20:45:57.61,08/28/2024,03:45:35.000,376965875,-1217753307,110469,139677,22,3,4,24.33,27.91,
08/27/2024,20:45:58.61,08/28/2024,03:45:36.000,376965875,-1217753307,110449,139657,22,3,9,24.40,27.97,
08/27/2024,20:45:59.61,08/28/2024,03:45:37.000,376965873,-1217753307,110410,139617,22,3,14,24.28,28.01,
08/27/2024,20:46:00.61,08/28/2024,03:45:38.000,376965872,-1217753306,110392,139599,22,3,1,24.47,27.98,
08/27/2024,20:46:01.61,08/28/2024,03:45:39.000,376965873,-1217753306,110375,139583,22,3,22,24.42,27.94,
08/27/2024,20:46:02.62,08/28/2024,03:45:40.000,376965873,-1217753306,110380,139587,22,3,4,24.40,27.94,
08/27/2024,20:46:03.62,08/28/2024,03:45:41.000,376965871,-1217753306,110401,139609,23,3,7,24.28,27.97,
08/27/2024,20:46:04.62,08/28/2024,03:45:42.000,376965870,-1217753305,110382,139590,23,3,5,24.26,27.97,
08/27/2024,20:46:05.62,08/28/2024,03:45:43.000,376965870,-1217753305,110339,139547,23,3,7,24.40,27.97,
08/27/2024,20:46:06.62,08/28/2024,03:45:44.000,376965872,-1217753305,110278,139485,23,3,6,24.21,27.96,
08/27/2024,20:46:07.62,08/28/2024,03:45:45.000,376965875,-1217753305,110238,139445,23,3,4,24.46,27.97,
08/27/2024,20:46:08.62,08/28/2024,03:45:46.000,376965874,-1217753303,110238,139446,23,3,18,24.25,27.96,
08/27/2024,20:46:09.62,08/28/2024,03:45:47.000,376965876,-1217753303,110201,139409,22,3,13,24.39,27.96,
08/27/2024,20:46:10.62,08/28/2024,03:45:48.000,376965878,-1217753302,110195,139403,23,3,21,24.44,27.94,
08/27/2024,20:46:11.62,08/28/2024,03:45:49.000,376965879,-1217753302,110162,139369,23,3,0,24.53,27.96,
08/27/2024,20:46:12.62,08/28/2024,03:45:50.000,376965878,-1217753300,110132,139340,24,3,12,24.47,27.97,
08/27/2024,20:46:13.62,08/28/2024,03:45:51.000,376965878,-1217753302,110091,139299,24,3,25,24.47,27.97,
08/27/2024,20:46:14.62,08/28/2024,03:45:52.000,376965876,-1217753303,110060,139267,24,3,9,24.54,28.03,
08/27/2024,20:46:15.62,08/28/2024,03:45:53.000,376965875,-1217753305,109974,139182,24,3,1,24.47,27.96,
08/27/2024,20:46:16.62,08/28/2024,03:45:54.000,376965874,-1217753306,109882,139090,24,3,6,24.57,27.95,
08/27/2024,20:46:17.62,08/28/2024,03:45:55.000,376965871,-1217753310,109784,138992,24,3,59,24.63,27.99,
08/27/2024,20:46:18.62,08/28/2024,03:45:56.000,376965822,-1217753389,109785,138993,24,3,1194,24.59,28.02,
08/27/2024,20:46:19.62,08/28/2024,03:45:57.000,376965759,-1217753568,109786,138993,23,3,1943,24.57,27.97,
08/27/2024,20:46:20.62,08/28/2024,03:45:58.000,376965706,-1217753883,109731,138939,24,3,3251,24.74,27.91,
08/27/2024,20:46:21.62,08/28/2024,03:45:59.000,376965672,-1217754311,109675,138882,24,3,4029,24.72,27.88,
08/27/2024,20:46:22.62,08/28/2024,03:46:01.000,376965711,-1217755212,109302,138509,24,3,3956,24.85,27.89,
08/27/2024,20:46:24.59,08/28/2024,03:46:02.000,376965868,-1217755597,109226,138434,24,3,3971,24.75,27.90,
08/27/2024,20:46:25.59,08/28/2024,03:46:03.000,376966137,-1217755879,109021,138229,24,3,4136,24.76,27.89,
08/27/2024,20:46:26.59,08/28/2024,03:46:04.000,376966490,-1217756064,108923,138131,24,3,4421,24.77,27.86,
08/27/2024,20:46:27.59,08/28/2024,03:46:05.000,376966886,-1217756178,108891,138099,24,3,4588,24.84,27.89,
08/27/2024,20:46:28.59,08/28/2024,03:46:06.000,376967315,-1217756251,108825,138033,24,3,4989,24.71,27.89,
08/27/2024,20:46:29.60,08/28/2024,03:46:07.000,376967764,-1217756303,108853,138060,24,3,5107,24.78,27.88,
08/27/2024,20:46:30.60,08/28/2024,03:46:08.000,376968219,-1217756348,108845,138053,24,3,5124,24.77,27.91,
08/27/2024,20:46:31.60,08/28/2024,03:46:09.000,376968672,-1217756395,108883,138091,24,3,5125,24.79,27.96,
08/27/2024,20:46:32.60,08/28/2024,03:46:10.000,376969121,-1217756393,108165,137372,24,3,4915,24.72,28.02,
08/27/2024,20:46:33.60,08/28/2024,03:46:11.000,376969545,-1217756379,108512,137720,24,3,4760,24.75,28.06,
08/27/2024,20:46:34.60,08/28/2024,03:46:12.000,376969951,-1217756383,108664,137871,24,3,4503,24.82,28.09,
08/27/2024,20:46:35.60,08/28/2024,03:46:13.000,376970360,-1217756398,108592,137799,24,3,4628,24.85,28.07,
08/27/2024,20:46:36.60,08/28/2024,03:46:14.000,376970760,-1217756404,108804,138011,24,3,4462,24.84,28.09,
08/27/2024,20:46:37.60,08/28/2024,03:46:15.000,376971141,-1217756399,108831,138038,24,3,4177,24.79,28.15,
08/27/2024,20:46:38.60,08/28/2024,03:46:16.000,376971507,-1217756376,108812,138019,24,3,4065,24.82,28.15,
08/27/2024,20:46:39.60,08/28/2024,03:46:17.000,376971866,-1217756308,109565,138772,25,3,4116,24.64,28.08,
08/27/2024,20:46:40.60,08/28/2024,03:46:18.000,376972181,-1217756091,109486,138693,25,3,4046,24.61,28.16,
08/27/2024,20:46:41.60,08/28/2024,03:46:19.000,376972394,-1217755745,109476,138682,25,3,3878,24.72,28.15,
08/27/2024,20:46:42.60,08/28/2024,03:46:20.000,376972494,-1217755348,109506,138713,24,3,3669,24.58,28.17,
08/27/2024,20:46:43.60,08/28/2024,03:46:21.000,376972539,-1217754946,109478,138685,25,3,3532,24.56,28.16,
08/27/2024,20:46:44.60,08/28/2024,03:46:22.000,376972576,-1217754564,109435,138642,25,3,3326,24.52,28.11,
08/27/2024,20:46:45.60,08/28/2024,03:46:23.000,376972656,-1217754204,109253,138459,25,3,3266,24.51,28.09,
08/27/2024,20:46:46.60,08/28/2024,03:46:24.000,376972827,-1217753897,109167,138373,25,3,3384,24.59,28.15,
08/27/2024,20:46:47.60,08/28/2024,03:46:25.000,376973077,-1217753683,108964,138171,25,3,3424,24.41,28.15,
08/27/2024,20:46:48.60,08/28/2024,03:46:26.000,376973380,-1217753588,108925,138132,25,3,3545,24.53,28.19,
08/27/2024,20:46:49.60,08/28/2024,03:46:27.000,376973645,-1217753563,108878,138084,25,3,2712,24.55,28.11,
08/27/2024,20:46:50.60,08/28/2024,03:46:28.000,376973853,-1217753562,108836,138043,25,3,2138,24.59,28.07,
08/27/2024,20:46:51.60,08/28/2024,03:46:29.000,376974049,-1217753575,108901,138108,24,3,2200,24.75,28.04,
08/27/2024,20:46:52.60,08/28/2024,03:46:30.000,376974265,-1217753571,108763,137969,24,3,2488,24.75,28.05,
08/27/2024,20:46:53.60,08/28/2024,03:46:31.000,376974452,-1217753519,108693,137899,25,3,2003,24.79,28.02,
08/27/2024,20:46:54.60,08/28/2024,03:46:32.000,376974612,-1217753372,108646,137852,25,3,2310,24.78,28.03,
08/27/2024,20:46:55.60,08/28/2024,03:46:33.000,376974728,-1217753083,108733,137939,24,3,3190,24.75,28.05,
08/27/2024,20:46:56.60,08/28/2024,03:46:34.000,376974792,-1217752608,108532,137738,25,3,4661,24.80,28.16,
08/27/2024,20:46:57.60,08/28/2024,03:46:35.000,376974853,-1217751964,108484,137690,25,3,6158,24.84,28.15,
08/27/2024,20:46:58.60,08/28/2024,03:46:36.000,376974933,-1217751161,108507,137713,25,3,7558,24.77,28.10,
08/27/2024,20:46:59.60,08/28/2024,03:46:37.000,376975018,-1217750209,108471,137677,25,3,8755,24.85,28.18,
08/27/2024,20:47:00.60,08/28/2024,03:46:38.000,376975103,-1217749167,108508,137714,25,3,9418,24.78,28.25,
08/27/2024,20:47:01.60,08/28/2024,03:46:39.000,376975174,-1217748089,108531,137736,25,3,9553,24.74,28.31,
08/27/2024,20:47:02.60,08/28/2024,03:46:40.000,376975231,-1217747028,108406,137611,25,3,9229,24.79,28.27,
08/27/2024,20:47:03.60,08/28/2024,03:46:41.000,376975284,-1217746016,108453,137658,25,3,8793,24.65,28.30,
08/27/2024,20:47:04.60,08/28/2024,03:46:42.000,376975330,-1217745068,108590,137795,25,3,8169,24.80,28.31,
08/27/2024,20:47:05.60,08/28/2024,03:46:43.000,376975377,-1217744248,108777,137982,25,3,6840,24.59,28.26,
08/27/2024,20:47:06.60,08/28/2024,03:46:44.000,376975410,-1217743566,108831,138036,25,3,5649,24.45,28.24,
08/27/2024,20:47:07.60,08/28/2024,03:46:45.000,376975435,-1217742987,108932,138137,25,3,4881,24.50,28.21,
08/27/2024,20:47:08.60,08/28/2024,03:46:46.000,376975458,-1217742506,108964,138169,25,3,3956,24.64,28.23,
08/27/2024,20:47:09.60,08/28/2024,03:46:47.000,376975481,-1217742146,109052,138257,25,3,2878,24.51,28.20,
08/27/2024,20:47:10.60,08/28/2024,03:46:48.000,376975496,-1217741905,109030,138235,25,3,1805,24.45,28.23,
08/27/2024,20:47:11.60,08/28/2024,03:46:49.000,376975504,-1217741777,109028,138233,25,3,854,24.53,28.20,
08/27/2024,20:47:12.60,08/28/2024,03:46:50.000,376975503,-1217741746,109005,138210,25,3,36,24.54,28.22,
08/27/2024,20:47:13.60,08/28/2024,03:46:51.000,376975504,-1217741737,108949,138153,25,3,90,24.59,28.20,
08/27/2024,20:47:14.61,08/28/2024,03:46:52.000,376975510,-1217741654,108952,138157,25,3,1008,24.58,28.16,
08/27/2024,20:47:15.61,08/28/2024,03:46:53.000,376975524,-1217741469,108979,138184,24,3,1891,24.51,28.16,
08/27/2024,20:47:16.61,08/28/2024,03:46:54.000,376975539,-1217741223,108968,138173,24,3,2279,24.60,28.15,
08/27/2024,20:47:17.61,08/28/2024,03:46:55.000,376975554,-1217740992,108969,138174,24,3,1912,24.76,28.15,
08/27/2024,20:47:18.61,08/28/2024,03:46:56.000,376975566,-1217740816,108992,138197,24,3,1404,24.79,28.08,
08/27/2024,20:47:19.61,08/28/2024,03:46:57.000,376975570,-1217740729,108983,138188,24,3,487,24.97,28.08,
08/27/2024,20:47:20.61,08/28/2024,03:46:58.000,376975572,-1217740712,108993,138198,24,3,8,25.08,28.08,
08/27/2024,20:47:21.61,08/28/2024,03:46:59.000,376975575,-1217740711,109007,138212,24,3,13,25.12,28.09,
08/27/2024,20:47:22.61,08/28/2024,03:47:00.000,376975578,-1217740710,109026,138231,24,3,11,25.06,28.03,
08/27/2024,20:47:23.61,08/28/2024,03:47:01.000,376975581,-1217740709,109047,138252,24,3,22,25.10,28.07,
08/27/2024,20:47:24.61,08/28/2024,03:47:02.000,376975584,-1217740707,109081,138286,24,3,15,24.98,28.03,
08/27/2024,20:47:25.61,08/28/2024,03:47:03.000,376975588,-1217740706,109106,138311,24,3,7,24.94,28.02,
08/27/2024,20:47:26.61,08/28/2024,03:47:04.000,376975592,-1217740706,109130,138335,24,3,5,24.84,28.01,
08/27/2024,20:47:27.61,08/28/2024,03:47:05.000,376975590,-1217740705,109115,138320,23,3,10,24.75,28.01,
08/27/2024,20:47:28.61,08/28/2024,03:47:06.000,376975589,-1217740704,109101,138305,24,3,8,24.77,28.04,
08/27/2024,20:47:29.61,08/28/2024,03:47:07.000,376975590,-1217740703,109094,138299,24,3,10,24.86,28.01,
08/27/2024,20:47:30.61,08/28/2024,03:47:08.000,376975590,-1217740701,109096,138301,24,3,8,24.87,28.06,
08/27/2024,20:47:31.61,08/28/2024,03:47:09.000,376975593,-1217740701,109134,138339,25,3,25,24.93,28.05,
08/27/2024,20:47:32.61,08/28/2024,03:47:10.000,376975598,-1217740703,109239,138443,25,3,13,24.82,28.04,
08/27/2024,20:47:33.61,08/28/2024,03:47:11.000,376975596,-1217740703,109258,138463,24,3,6,24.93,28.04,
08/27/2024,20:47:34.61,08/28/2024,03:47:12.000,376975596,-1217740704,109276,138480,26,3,21,24.99,28.05,
08/27/2024,20:47:35.61,08/28/2024,03:47:13.000,376975596,-1217740707,109316,138521,26,3,3,24.99,28.06,
08/27/2024,20:47:36.61,08/28/2024,03:47:14.000,376975597,-1217740709,109371,138576,26,3,9,24.91,28.01,
08/27/2024,20:47:37.61,08/28/2024,03:47:15.000,376975599,-1217740712,109439,138643,26,3,10,25.12,28.01,
08/27/2024,20:47:38.61,08/28/2024,03:47:16.000,376975602,-1217740715,109517,138722,26,3,8,25.19,27.97,
08/27/2024,20:47:39.61,08/28/2024,03:47:17.000,376975607,-1217740699,109613,138817,26,3,234,24.99,27.97,
08/27/2024,20:47:40.61,08/28/2024,03:47:18.000,376975615,-1217740543,109658,138863,25,3,1879,24.92,28.00,
08/27/2024,20:47:41.61,08/28/2024,03:47:19.000,376975643,-1217740183,109677,138881,24,3,3754,24.85,27.94,
08/27/2024,20:47:42.61,08/28/2024,03:47:20.000,376975689,-1217739643,109707,138912,25,3,5236,25.09,27.97,
08/27/2024,20:47:43.61,08/28/2024,03:47:21.000,376975740,-1217738986,109755,138960,25,3,6099,25.06,27.94,
08/27/2024,20:47:44.61,08/28/2024,03:47:22.000,376975787,-1217738303,109901,139106,24,3,6052,24.92,27.95,
08/27/2024,20:47:45.61,08/28/2024,03:47:23.000,376975737,-1217737637,110015,139220,25,3,5880,24.82,27.99,
08/27/2024,20:47:46.61,08/28/2024,03:47:24.000,376975507,-1217737038,110010,139215,26,3,5972,24.72,27.96,
08/27/2024,20:47:47.61,08/28/2024,03:47:25.000,376975046,-1217736568,110247,139452,26,3,6925,24.68,27.96,
08/27/2024,20:47:48.61,08/28/2024,03:47:26.000,376974379,-1217736263,110446,139651,25,3,8370,24.53,27.94,
08/27/2024,20:47:49.61,08/28/2024,03:47:27.000,376973529,-1217736093,110534,139739,25,3,10000,24.53,28.01,
08/27/2024,20:47:50.61,08/28/2024,03:47:28.000,376972530,-1217735952,110667,139871,25,3,11594,24.66,28.07,
08/27/2024,20:47:51.61,08/28/2024,03:47:29.000,376971405,-1217735802,110854,140059,26,3,12909,24.51,28.02,
08/27/2024,20:47:52.61,08/28/2024,03:47:30.000,376970180,-1217735638,111096,140301,26,3,13967,24.53,28.02,
08/27/2024,20:47:53.62,08/28/2024,03:47:31.000,376968879,-1217735468,111496,140701,26,3,14721,24.62,27.96,
08/27/2024,20:47:54.62,08/28/2024,03:47:32.000,376967504,-1217735318,111720,140926,25,3,15533,24.69,27.93,
08/27/2024,20:47:55.62,08/28/2024,03:47:33.000,376966113,-1217735151,112256,141462,25,3,15499,24.81,27.92,
08/27/2024,20:47:56.62,08/28/2024,03:47:34.000,376964709,-1217734983,112995,142201,25,3,15707,24.97,27.88,
08/27/2024,20:47:57.62,08/28/2024,03:47:35.000,376963302,-1217734831,113745,142951,25,3,15664,25.03,27.92,
08/27/2024,20:47:58.62,08/28/2024,03:47:36.000,376961890,-1217734703,114452,143658,25,3,15723,25.03,27.95,
08/27/2024,20:47:59.62,08/28/2024,03:47:37.000,376960492,-1217734583,115033,144240,25,3,15492,25.01,27.99,
08/27/2024,20:48:00.62,08/28/2024,03:47:38.000,376959097,-1217734480,115666,144873,25,3,15497,25.04,28.03,
08/27/2024,20:48:01.62,08/28/2024,03:47:39.000,376957700,-1217734376,116340,145547,25,3,15592,25.00,28.01,
08/27/2024,20:48:02.62,08/28/2024,03:47:40.000,376956273,-1217734262,116692,145900,25,3,15933,24.95,28.09,
08/27/2024,20:48:03.62,08/28/2024,03:47:41.000,376954825,-1217734142,117188,146395,25,3,16167,24.90,28.13,
08/27/2024,20:48:04.62,08/28/2024,03:47:42.000,376953349,-1217734029,117566,146774,24,3,16487,24.99,28.08,
08/27/2024,20:48:05.62,08/28/2024,03:47:43.000,376951852,-1217733922,117858,147066,25,3,16744,25.09,28.06,
08/27/2024,20:48:06.62,08/28/2024,03:47:45.000,376948802,-1217733748,118017,147226,24,3,17073,25.05,28.11,
08/27/2024,20:48:08.59,08/28/2024,03:47:46.000,376947262,-1217733686,117924,147133,25,3,17070,25.04,28.17,
08/27/2024,20:48:09.59,08/28/2024,03:47:47.000,376945747,-1217733655,117951,147160,25,3,16694,25.00,28.25,
08/27/2024,20:48:10.59,08/28/2024,03:47:48.000,376944308,-1217733632,117830,147039,25,3,15609,25.08,28.32,
08/27/2024,20:48:11.59,08/28/2024,03:47:49.000,376942981,-1217733604,117623,146833,25,3,14302,24.94,28.31,
08/27/2024,20:48:12.59,08/28/2024,03:47:50.000,376941774,-1217733578,117436,146645,25,3,12993,24.91,28.32,
08/27/2024,20:48:13.59,08/28/2024,03:47:52.000,376939691,-1217733530,116852,146062,25,3,10590,24.85,28.27,
08/27/2024,20:48:15.57,08/28/2024,03:47:53.000,376938806,-1217733501,116647,145857,25,3,9446,24.80,28.28,
08/27/2024,20:48:16.63,08/28/2024,03:47:54.000,376938027,-1217733470,116471,145682,25,3,8260,24.95,28.27,
08/27/2024,20:48:17.63,08/28/2024,03:47:55.000,376937380,-1217733436,116253,145463,25,3,6685,24.73,28.22,
08/27/2024,20:48:18.63,08/28/2024,03:47:56.000,376936875,-1217733407,116056,145267,26,3,5102,24.86,28.27,
08/27/2024,20:48:19.63,08/28/2024,03:47:57.000,376936502,-1217733389,115876,145087,26,3,3675,24.89,28.21,
08/27/2024,20:48:20.63,08/28/2024,03:47:58.000,376936265,-1217733377,115792,145002,26,3,2149,24.97,28.27,
08/27/2024,20:48:21.63,08/28/2024,03:47:59.000,376936116,-1217733367,115804,145015,26,3,1395,24.78,28.27,
08/27/2024,20:48:22.63,08/28/2024,03:48:00.000,376936034,-1217733363,115775,144986,26,3,657,24.83,28.33,
08/27/2024,20:48:23.63,08/28/2024,03:48:01.000,376936009,-1217733361,115763,144973,26,3,61,24.70,28.27,
08/27/2024,20:48:24.63,08/28/2024,03:48:02.000,376936004,-1217733361,115736,144946,26,3,1,24.80,28.30,
08/27/2024,20:48:25.63,08/28/2024,03:48:03.000,376935999,-1217733361,115745,144955,26,3,6,24.79,28.31,
08/27/2024,20:48:26.63,08/28/2024,03:48:04.000,376935995,-1217733362,115777,144987,25,3,4,24.62,28.27,
08/27/2024,20:48:27.63,08/28/2024,03:48:05.000,376935940,-1217733361,115822,145032,26,3,850,24.83,28.27,
08/27/2024,20:48:28.63,08/28/2024,03:48:06.000,376935741,-1217733353,115940,145150,26,3,2766,24.76,28.32,
08/27/2024,20:48:29.63,08/28/2024,03:48:07.000,376935348,-1217733330,115939,145150,25,3,5026,24.69,28.32,
08/27/2024,20:48:30.63,08/28/2024,03:48:08.000,376934758,-1217733300,115890,145101,25,3,7204,24.52,28.29,
08/27/2024,20:48:31.63,08/28/2024,03:48:09.000,376933999,-1217733256,115836,145046,26,3,8953,24.58,28.34,
08/27/2024,20:48:32.63,08/28/2024,03:48:10.000,376933120,-1217733199,115607,144817,26,3,10135,24.59,28.30,
08/27/2024,20:48:33.63,08/28/2024,03:48:11.000,376932157,-1217733120,115478,144689,26,3,10933,24.71,28.32,
08/27/2024,20:48:34.63,08/28/2024,03:48:12.000,376931133,-1217733031,115341,144552,26,3,11584,24.73,28.32,
08/27/2024,20:48:35.63,08/28/2024,03:48:13.000,376930049,-1217732936,115163,144375,26,3,12248,24.88,28.28,
08/27/2024,20:48:36.63,08/28/2024,03:48:14.000,376928909,-1217732842,115163,144375,26,3,12855,24.97,28.29,
08/27/2024,20:48:37.64,08/28/2024,03:48:15.000,376927732,-1217732751,115081,144293,26,3,13168,24.82,28.24,
08/27/2024,20:48:38.64,08/28/2024,03:48:16.000,376926559,-1217732655,115102,144314,26,3,12995,24.68,28.26,
08/27/2024,20:48:39.64,08/28/2024,03:48:17.000,376925410,-1217732564,115008,144220,26,3,12696,24.79,28.20,
08/27/2024,20:48:40.64,08/28/2024,03:48:18.000,376924284,-1217732474,115107,144319,26,3,12442,24.72,28.15,
08/27/2024,20:48:41.64,08/28/2024,03:48:19.000,376923184,-1217732384,115091,144303,26,3,12144,24.95,28.16,
08/27/2024,20:48:42.64,08/28/2024,03:48:20.000,376922127,-1217732303,115061,144273,26,3,11577,25.02,28.24,
08/27/2024,20:48:43.64,08/28/2024,03:48:21.000,376921122,-1217732219,114917,144129,26,3,10982,24.95,28.24,
08/27/2024,20:48:44.64,08/28/2024,03:48:22.000,376920166,-1217732138,114965,144178,26,3,10461,24.81,28.24,
08/27/2024,20:48:45.64,08/28/2024,03:48:23.000,376919247,-1217732064,114968,144181,26,3,10126,24.69,28.20,
08/27/2024,20:48:46.65,08/28/2024,03:48:24.000,376918367,-1217731998,115033,144247,26,3,9646,24.58,28.19,
08/27/2024,20:48:47.65,08/28/2024,03:48:25.000,376917557,-1217731940,115174,144387,26,3,8746,24.53,28.20,
08/27/2024,20:48:48.65,08/28/2024,03:48:26.000,376916834,-1217731882,115396,144609,25,3,7762,24.52,28.21,
08/27/2024,20:48:49.65,08/28/2024,03:48:27.000,376916202,-1217731828,115539,144753,25,3,6723,24.46,28.18,
08/27/2024,20:48:50.65,08/28/2024,03:48:28.000,376915668,-1217731786,115590,144804,26,3,5626,24.50,28.25,
08/27/2024,20:48:51.65,08/28/2024,03:48:29.000,376915229,-1217731747,115750,144964,26,3,4567,24.56,28.26,
08/27/2024,20:48:52.65,08/28/2024,03:48:30.000,376914891,-1217731718,115648,144862,25,3,3404,24.41,28.20,
08/27/2024,20:48:53.65,08/28/2024,03:48:31.000,376914638,-1217731691,115857,145071,25,3,2504,24.43,28.25,
08/27/2024,20:48:54.65,08/28/2024,03:48:32.000,376914443,-1217731671,115946,145159,25,3,2038,24.33,28.24,
08/27/2024,20:48:55.65,08/28/2024,03:48:33.000,376914234,-1217731654,115934,145147,25,3,2499,24.34,28.13,
08/27/2024,20:48:56.65,08/28/2024,03:48:34.000,376913911,-1217731626,115858,145072,25,3,4083,24.48,28.20,
08/27/2024,20:48:57.65,08/28/2024,03:48:35.000,376913442,-1217731587,115896,145110,25,3,5714,24.43,28.16,
08/27/2024,20:48:58.65,08/28/2024,03:48:36.000,376912821,-1217731543,115852,145066,25,3,7430,24.51,28.15,
08/27/2024,20:48:59.65,08/28/2024,03:48:37.000,376912053,-1217731493,116100,145314,25,3,8999,24.55,28.29,
08/27/2024,20:49:00.65,08/28/2024,03:48:38.000,376911178,-1217731419,116143,145358,26,3,10035,24.65,28.28,
08/27/2024,20:49:01.65,08/28/2024,03:48:39.000,376910246,-1217731301,116219,145433,26,3,10563,24.80,28.04,
